source_code,source_term,modality,wise,last_date,source_frequency
RAD_ZH00000654_OT,Borstklierinspuiting,Other,Borstklierinspuiting - NM: 322; Borstklierinspuiting - OT: 95,2020-05-18,101
RAD_T_MRELLR_MG,MRI Elleboog Re,Mammography,not in wise,2018-03-23,101
RAD_ZH00005037_US,PM controle,Ultra Sound,not in wise,2023-03-14,100
RAD_ZH00000482_MR,MR Voorvoet Arthritis Rechts,Magnetic Resonance,MR Voorvoet Arthritis Rechts - MR: 96,2023-02-20,100
RAD_ZH00000168_CT,CT Bijnieren,Computed Tomography,CT Bijnieren - CT: 100,2023-03-16,100
RAD_0000008811_CT,CT Full Body Low Dose (ikv opsporen botletsels),Computed Tomography,CT Full Body Low Dose (ikv opsporen botletsels) - CT: 103,2023-03-13,100
RAD_ZH00000675_NM,SPECT-CT Bekken,Nuclear Medicine,SPECT-CT Bekken - NM: 79; SPECT-CT Bekken - CT: 1,2023-02-28,98
RAD_ZH00000436_MR,MR Lidmaat Tumor Rechts,Magnetic Resonance,MR Lidmaat Tumor Rechts - MR: 97;  - MR: 1,2023-03-13,98
RAD_VACC_MG,Vaco stereotaxie met clipplaatsing,Mammography,Vaco stereotaxie met clipplaatsing - MG: 127,2017-09-27,98
RAD_ZH00005177_EMG,EMG,Electromyography,EMG - MG: 2,2023-03-16,98
RAD_T_DLID_MG,Duplex ledematen,Mammography,not in wise,2018-04-18,98
RAD_ZH00000364_MR,MR Craniale Zenuwen - Nervus Opticus,Magnetic Resonance,MR Craniale Zenuwen - Nervus Opticus - MR: 93,2023-03-07,98
RAD_AAB2_MG,Sel. 2 of + abd. art,Mammography,Sel.2 of + abd.art new - RF: 32; Sel.2 of + abd.art new - XA: 15; Sel. 2 of + abd. art - RF: 1; Sel.2 of + abd.art new - CT: 1,2017-09-11,96
RAD_AORTA + _MG,BENEN,Mammography,not in wise,2011-02-16,96
RAD_0000005138_NM,WBCscan autologe merking SPECT/CT (LD CT) 21u pi,Nuclear Medicine,WBCscan autologe merking SPECT/CT (LD CT) 21u pi - NM: 95,2023-02-10,95
RAD_ZH00000414_MR,MR Scrotum,Magnetic Resonance,MR Scrotum - MR: 94,2023-03-16,95
RAD_0000009051_CT,CT TPS Radiotherapie,Computed Tomography,CT TPS Radiotherapie - CT: 66,2023-03-16,95
RAD_ZH00000052_OT,CR Full Spine Face,Other,CR Full Spine Face - OT: 75; CR Full Spine Face - CR: 71; CR Full Spine Face - DX: 14,2023-02-23,95
RAD_ZH00005201_US,Nierbiopt onder echogeleide (E),Ultra Sound,Nierbiopt onder echogeleide (E) - US: 158,2020-06-12,95
RAD_ECHOUR_MG,Echo URINAIR,Mammography,Echo URINAIR - US: 95,2009-09-03,95
RAD_0000005136_NM,WBCscan autologe merking SPECT/CT (LD CT) scan,Nuclear Medicine,WBCscan autologe merking SPECT/CT (LD CT) scan - NM: 94,2023-02-09,94
RAD_0000005137_NM,WBCscan autologe merking SPECT/CT (LD CT) 4u pi,Nuclear Medicine,WBCscan autologe merking SPECT/CT (LD CT) 4u pi - NM: 94,2023-02-09,94
RAD_ZH00000435_MR,MR Lidmaat Tumor Links,Magnetic Resonance,MR Lidmaat Tumor Links - MR: 93,2023-03-13,94
RAD_GB4_MG,Gewone biopsie 4x,Mammography,not in wise,2011-11-09,93
RAD_ZH00000288_US,Echo Clavicula Links,Ultra Sound,Echo Clavicula Links - US: 86,2023-03-08,93
RAD_DPMV_MG,DDD-PACEMAKER-VERVANGING,Mammography,DDD-PACEMAKER-VERVANGING - XA: 48; DDD-PACEMAKER-VERVANGING - SR: 40; DDD-PACEMAKER-VERVANGING - OT: 15,2017-09-18,93
RAD_CAR2-OLD_MG,UNIL-FPS-IE,Mammography,not in wise,2000-03-03,92
RAD_T_FSP2_MG,RX Full Spine FP,Mammography,not in wise,2018-04-10,92
RAD_SLIKFUNK_MG,SLIK,Mammography,not in wise,2011-03-21,92
RAD_0000008572_US,Echo hersenen,Ultra Sound,Echo hersenen - US: 334,2022-12-01,91
RAD_ZH00005079_NM,Whole Bodyscintigrafie inj,Nuclear Medicine,Whole Bodyscintigrafie inj - OT: 347; Whole Bodyscintigrafie inj - NM: 124; Whole Bodyscintigrafie inj - MG: 1,2023-02-23,91
RAD_T_COPSUB_MG,Co PortACath ,Mammography,not in wise,2018-02-19,91
RAD_ZH00005106_CT,CT HART- Evaluatie aortaklep calcificaties (-)/EKG,Computed Tomography,CT Evaluatie aortaklep calcificaties (-)/EKG - CT: 36; CT HART- Evaluatie aortaklep calcificaties (-)/EKG - CT: 33; CT HART- Evaluatie aortaklep calcificaties (-)/EKG - CT: 23,2023-03-13,90
RAD_0000008788_NM,Consultatie NG,Nuclear Medicine,Consultatie NG - NM: 88,2023-03-16,90
RAD_1674_MG,CT COLON,Mammography,CT COLON - CT: 81; CT COLON - SC: 1,2015-10-12,90
RAD_ID_MG,immuno duurdere,Mammography,not in wise,2011-12-21,90
RAD_SMIM3_MG,Supermakroscopie + 3 immuno's,Mammography,not in wise,2011-10-21,89
RAD_ZH00000530_XA,Embolisatie Bloeding Bovenbuik,X-Ray Angiography,Embolisatie Bloeding Bovenbuik - XA: 88,2023-02-01,89
RAD_VBGB_MG,Vriesbiopsie + gewone biopsie,Mammography,not in wise,2011-11-10,88
RAD_RL_MG,Rug Lumbaal,Mammography,Rug Lumbaal - RF: 89,2017-09-21,88
RAD_PTAI_MG,PTA iliacaal,Mammography,PTA iliacaal - RF: 103,2017-09-15,87
RAD_ZH00000433_MR,MR Bovenarm Links,Magnetic Resonance,MR Bovenarm Links - MR: 84,2023-03-15,87
RAD_1826_MG,CB-CWZ,Mammography,CB-CWZ - CT: 87,2015-10-05,87
RAD_MRWMI_MG,MR cwz/dwz/lwz IZEGEM,Mammography,MR cwz/dwz/lwz IZEGEM - MR: 86,2015-12-31,87
RAD_0000008504_US,Reconversie,Ultra Sound,Reconversie - US: 124; Reconversie - US: 7,2021-06-23,86
RAD_SB2I2_MG,2x SUPERBIOPSIE + 2 IMMUNO's,Mammography,not in wise,2011-10-06,86
RAD_ZH00000677_NM,SPECT-CT Heup Rechts,Nuclear Medicine,SPECT-CT Heup Rechts - NM: 68,2023-03-16,85
RAD_ZH00000262_US,Echo Aorta,Ultra Sound,Echo Aorta - US: 86,2023-02-02,85
RAD_OCT_MG,Octreotide scan,Mammography,Octreotide scan - NM: 78,2017-03-01,85
RAD_MYEL_MG,Myelo LWZ,Mammography,Myelo LWZ - RF: 41; Myelo LWZ - CR: 4; Myelo LWZ - XA: 2,2017-06-13,85
RAD_T_CURO_MG,CT Urografie,Mammography,not in wise,2018-04-18,85
RAD_T_ERCP2_MG,ERCP + Papilotomie,Mammography,not in wise,2012-04-02,84
RAD_EGLH_MG,Echo gastro Dr. Harlet,Mammography,Echo gastro Dr. Harlet - US: 85,2017-09-19,84
RAD_ZH00000321_US,Duplex-Dopler Follow-up Arterieel,Ultra Sound,Duplex-Dopler Follow-up Arterieel - US: 81,2023-03-14,84
RAD_ZH00000542_XA,Embolisatie Bloeding Onderbuik,X-Ray Angiography,Embolisatie Bloeding Onderbuik - XA: 81; Embolisatie Bloeding Onderbuik - US: 1,2023-03-16,83
RAD_ZH00000126_CR,MA Hysterosalpingografie,Computed Radiography,MA Hysterosalpingografie - CR: 84; MA Hysterosalpingografie - MG: 6,2023-02-22,83
RAD_AXSK_MG,RX axiaal skelet,Mammography,RX Axiaal skelet - CR: 41; RX axiaal skelet - CR: 7; axiaal Skelet - CR: 2,2016-01-08,83
RAD_ZH00000534_XA,PTC + Stenting,X-Ray Angiography,PTC + Stenting - XA: 85,2023-03-07,83
RAD_CTHTA_MG,"CT Thorax,hals,abdomen",Mammography,"CT Thorax,hals,abdomen - CT: 88",2017-09-28,83
RAD_S97_MG,gr.macro + gr.micro + 3 immuno's,Mammography,not in wise,1999-06-17,82
RAD_ZH00005510_XA,loop recorder implantatie,X-Ray Angiography,loop recorder implantatie - XA: 4,2023-03-13,82
RAD_SMD TRAN_MG,SMD TR,Mammography,not in wise,2010-12-27,82
RAD_B1503_MG,SENTINEL BORST + TOMO,Mammography,SENTINEL BORST + TOMO - NM: 47; SENTINEL BORST + TOMO - CT: 32,2015-09-28,82
RAD_ZH00000656_OT,Consultatie ambulant NG,Other,Consultatie ambulant NG - OT: 82; Consultatie ambulant NG - NM: 6,2020-05-27,82
RAD_ZH00000578_NM,Longperfusie met SPECT/CT (low dose CT),Nuclear Medicine,Longperfusie met SPECT/CT (low dose CT) - NM: 82;  - NM: 1,2023-03-06,81
RAD_AF_MG,ABLATIE FLUTTER (RECHTS),Mammography,ABLATIE FLUTTER (RECHTS) - XA: 81,2011-06-14,81
RAD_CRTPMIN_MG,CRT PM-IMPLANTATIE + NARCOSE,Mammography,CRT PM-IMPLANTATIE + NARCOSE - XA: 93,2017-09-04,80
RAD_0000008800_CT,CT Slokdarm,Computed Tomography,CT Slokdarm - CT: 76,2023-02-19,80
RAD_TCD_MG,Transcraniële Doppler,Mammography,Transcraniële Doppler - US: 80,2015-03-13,80
RAD_T_DLIDVF_MG,Duplex Veneus Opvolging,Mammography,not in wise,2018-04-16,80
RAD_ZH00000676_NM,SPECT-CT Heup Links,Nuclear Medicine,SPECT-CT Heup Links - NM: 66,2023-02-13,80
RAD_VICDIN_MG,VVI ICD-IMPLANTATIE,Mammography,VVI ICD-IMPLANTATIE - XA: 91,2017-09-25,80
RAD_ZH00000052_CR,CR Full Spine Face,Computed Radiography,CR Full Spine Face - OT: 75; CR Full Spine Face - CR: 71; CR Full Spine Face - DX: 14,2023-03-14,79
RAD_0000008556_MR,MR Angio Abdominale Aorta,Magnetic Resonance,MR Angio Abdominale Aorta - MR: 77,2023-03-16,79
RAD_N8300_MG,PET-CT,Mammography,PET-CT - PT: 42; PET-CT - OT: 3; PET-CT - CT: 1,2015-06-30,79
RAD_ZH00000678_NM,SPECT-CT Heupprothese Links,Nuclear Medicine,SPECT-CT Heupprothese Links - NM: 65,2023-03-10,79
RAD_ZH00000289_US,Echo Clavicula Rechts,Ultra Sound,Echo Clavicula Rechts - US: 74,2023-02-01,79
RAD_ZH00000427_MR,MR Urografie,Magnetic Resonance,MR Urografie - MR: 80,2023-03-09,78
RAD_ZH00000291_US,Echo AC-Gewricht Rechts,Ultra Sound,Echo AC-Gewricht Rechts - US: 73,2023-02-14,78
RAD_6005I_MG,NMR BEIDE MAMAE (IZEGEM),Mammography,NMR BEIDE MAMAE (IZEGEM) - MR: 77,2015-10-08,78
RAD_0000008821_CT,CT Hersenen Wake Up Stroke,Computed Tomography,CT Hersenen Wake Up Stroke - CT: 75,2023-02-16,78
RAD_T_MRHANR_MG,MRI Hand Re,Mammography,not in wise,2018-04-06,77
RAD_0000008563_CT,Punctie Drainage Abces,Computed Tomography,Punctie Drainage Abces - US: 362; Punctie Drainage Abces - CT: 74; Punctie Drainage Abces - XA: 31,2023-03-16,77
RAD_ZH00000036_OT,"CR Knie Standaard Staande (""4 opnames"") Rechts",Other,"CR Knie Rechts - CR: 8720; CR Knie Standaard Staande (""4 opnames"") Rechts - CR: 6514; CR Knie Standaard Staande (""4 opnames"") Rechts - OT: 55; CR Knie Standaard (""4 opnames"") Rechts - CR: 15; CR Knie Rechts - OT: 6;  - CR: 1",2023-03-15,77
RAD_T_FLG_MG,RX Full Leg,Mammography,not in wise,2018-02-19,77
RAD_300_MG,Autopsie,Mammography,not in wise,2011-07-11,77
RAD_ZH00005117_CR,CR Teleradiografie,Computed Radiography,CR Teleradiografie - CR: 70,2022-12-07,77
RAD_ZH00000034_OT,"CR Knie Standaard Staande (""4 opnames"") Links",Other,"CR Knie Links - CR: 8778; CR Knie Standaard Staande (""4 opnames"") Links - CR: 6376; CR Knie Standaard Staande (""4 opnames"") Links - OT: 51; CR Knie Standaard (""4 opnames"") Links - CR: 21; CR Knie Links - OT: 3;  - CR: 3; CR Knie Standaard Staande (""4 opnames"") Links - DX: 2",2023-03-03,77
RAD_FLLM_MG,Flebografie lidmaat,Mammography,Flebografie lidmaat new - RF: 48; Flebografie lidmaat new - XA: 11; Flebografie lidmaat - RF: 6; Flebografie lidmaat new - CR: 1; Flebografie lidmaat new - CT: 1,2017-06-26,77
RAD_0000008768_US,Reconversie Rumbeke,Ultra Sound,Reconversie Rumbeke - US: 5,2023-03-09,77
RAD_ALMK-OLD_MG,ART.LIDM VIA KATHE,Mammography,not in wise,2001-05-23,76
RAD_HERN_MG,HERNIOGRAFIE,Mammography,not in wise,2002-08-14,76
RAD_ZH00000672_NM,SPECT-CT Pols Rechts,Nuclear Medicine,SPECT-CT Pols Rechts - NM: 72,2023-03-07,76
RAD_ZH00000674_NM,SPECT-CT Hand Rechts,Nuclear Medicine,SPECT-CT Hand Rechts - NM: 70,2023-03-10,76
RAD_0000008507_NM,Whole body met SPECT scan,Nuclear Medicine,Whole body met SPECT scan - NM: 74,2023-03-10,75
RAD_ZH00000101_CR,CR Defaecografie,Computed Radiography,CR Defaecografie - CR: 74,2023-01-17,75
RAD_CORPOR_MG,CORONARO POST-OP EN RECHTER HART,Mammography,CORONARO POST-OP EN RECHTER HART - XA: 82,2017-05-08,75
RAD_ZH00000426_MR,MR Urethra,Magnetic Resonance,MR Urethra - MR: 77,2023-03-09,75
RAD_ZH00000527_XA,Flebografie,X-Ray Angiography,Flebografie - XA: 73; Flebografie - CR: 28; Flebografie - US: 4,2023-02-21,75
RAD_0000008866_NM,LuPSMA cyclus 2 of meer scan Dag6,Nuclear Medicine,LuPSMA cyclus 2 of meer scan Dag6 - NM: 75,2023-02-21,75
RAD_CAR1-OLD_MG,UNIL-FP-C,Mammography,not in wise,2001-01-11,75
RAD_ZH00000083_CR,CR Thorax F/P Arbeidsgeneeskunde,Computed Radiography,CR Thorax F/P Arbeidsgeneeskunde - CR: 75,2023-03-16,74
RAD_ZH00005296_US,Duplex Aneurysma,Ultra Sound,Duplex Aneurysma - US: 65; Duplex Aneurysma - US: 12,2023-02-06,74
RAD_92_MG,heelkundige behandeling van pseudarthrose van olec,Mammography,not in wise,1999-06-28,74
RAD_PASC_MG,Punctie ascites,Mammography,Punctie ascites - CT: 4; Punctie ascites - US: 3; Punctie ascites - CR: 1; Punctie ascites - XA: 1,2017-09-28,74
RAD_T_EVOAR_MG,Echo Voorarm,Mammography,not in wise,2018-04-19,73
RAD_ZH00000434_MR,MR Bovenarm Rechts,Magnetic Resonance,MR Bovenarm Rechts - MR: 73,2023-03-16,73
RAD_ZH00000309_US,Duplex-Dopler Bovenste Lidmaten Art. Bilateraal,Ultra Sound,Duplex-Dopler Bovenste Lidmaten Art. Bilateraal - US: 66; Duplex-Dopler Bovenste Lidmaten Arterieel - US: 3,2022-12-27,73
RAD_GDL_MG,Galliumscan deel,Mammography,not in wise,2004-12-17,72
RAD_LYSCLEDE_MG,Lymfescan onderste/bovenste ledematen,Mammography,not in wise,2017-09-27,72
RAD_0000008865_NM,LuPSMA cyclus 2 of meer injectie,Nuclear Medicine,LuPSMA cyclus 2 of meer injectie - NM: 2,2023-02-14,72
RAD_PFO_MG,PFO-SLUITING,Mammography,PFO-SLUITING - XA: 78,2017-08-17,72
RAD_EGV_MG,Echo gastro Dr. Vandecandelaere,Mammography,Echo gastro Dr. Vandecandelaere - US: 72,2017-09-14,72
RAD_1605_MG,EMBOL. ARTERIEEL,Mammography,EMBOL. ARTERIEEL - RF: 65,2015-09-30,72
RAD_ZH00000671_NM,SPECT-CT Pols Links,Nuclear Medicine,SPECT-CT Pols Links - NM: 58,2023-03-14,71
RAD_MIBG_MG,MIBG - scan,Mammography,MIBG - scan - NM: 35,2016-11-02,71
RAD_ZH00000625_NM,Nierscintigrafie MAG3 pediatrie,Nuclear Medicine,Nierscintigrafie MAG3 pediatrie - NM: 71; Nierscintigrafie MAG3 pediatrie - OT: 1,2023-03-09,71
RAD_ZH00000664_NM,SPECT-CT DWZ,Nuclear Medicine,SPECT-CT DWZ - NM: 51,2022-10-21,71
RAD_ZH00005191_OT,Whole body + diagn spect/CT LEDEMATEN inj,Other,Whole body + diagn spect/CT LEDEMATEN inj - NM: 1381; Whole body + diagn spect/CT LEDEMATEN inj - NM: 350; Whole body + diagn spect/CT LEDEMATEN inj - OT: 71,2020-05-29,71
RAD_22_MG,behandelen met repositie van enkelluxatie (tibiota,Mammography,not in wise,1999-06-09,70
RAD_ZH00005087_NM,Longventilatie en -perfusie met SPECT/CT inh,Nuclear Medicine,Longventilatie en -perfusie met SPECT/CT inh - OT: 328; Longventilatie en -perfusie met SPECT/CT inh - NM: 67,2022-09-21,70
RAD_T_MRHYP_MG,MRI Hypofyse,Mammography,not in wise,2018-04-06,70
RAD_CU2_MG,Cytologie urine-sputum 2x,Mammography,not in wise,2011-09-21,70
RAD_EMABL_MG,Endometriumablatie,Mammography,Endometriumablatie - ES: 69,2015-10-06,69
RAD_ZH00000322_US,Duplex-Dopler Follow-up Veneus,Ultra Sound,Duplex-Dopler Follow-up Veneus - US: 67,2023-02-24,69
RAD_T_BRONCH_MG,Bronchoscopie,Mammography,not in wise,2018-03-08,69
RAD_ZH00000407_MR,MR Lever Non Coöperatief,Magnetic Resonance,MR Lever Non Coöperatief - MR: 64,2023-03-09,69
RAD_T_CHEUL_MG,CT Heup Li,Mammography,not in wise,2018-03-31,69
RAD_0000008688_CT,"CT HART - sluiten hartoortje (-,+)/EKG",Computed Tomography,"CT HART - sluiten hartoortje (-,+)/EKG - CT: 63; CT Coronarografie ikv sluiten hartoortje (-,+)/EKG - CT: 8",2023-03-16,69
RAD_OB_MG,Onderbeen,Mammography,Onderbeen - RF: 64; Onderbeen - OT: 5,2017-09-26,69
RAD_ZH00000481_MR,MR Voorvoet Arthritis Links,Magnetic Resonance,MR Voorvoet Arthritis Links - MR: 67,2023-02-20,68
RAD_1825_MG,CB-ROTSBEENDEREN,Mammography,CB-ROTSBEENDEREN - CT: 63; CB-ROTSBEENDEREN - (no value): 5,2015-10-02,68
RAD_ZH00005089_NM,Maaglediging inj,Nuclear Medicine,Maaglediging inj - NM: 66; Maaglediging inj - OT: 64,2023-03-15,68
RAD_CAR4_MG,Unil-fps-c,Mammography,Unil-fps-c new - RF: 29; Unil-fps-c new - XA: 6; Unil-fps-c - RF: 1,2017-06-26,68
RAD_ZH00005037_ECG,PM controle,Electrocardiography,not in wise,2023-03-07,68
RAD_VPMI_MG,VVI_PACEMAKER-IMPLANTATIE,Mammography,VVI_PACEMAKER-IMPLANTATIE - XA: 86; VVI_PACEMAKER-IMPLANTATIE - OT: 1,2017-08-25,68
RAD_BB_MG,Bovenbeen,Mammography,Bovenbeen - RF: 72; Bovenbeen - OT: 1,2017-09-11,68
RAD_T_CHEUR_MG,CT Heup Re,Mammography,not in wise,2018-04-04,67
RAD_0000008680_XA,Plaatsen Nefrostomiesonde,X-Ray Angiography,Plaatsen Nefrostomiesonde - XA: 65; Plaatsen Nefrostomiesonde - US: 4,2023-02-02,67
RAD_PPLEU_MG,Pleurapunctie met naald,Mammography,Pleurapunctie met naald - US: 10; Pleurapunctie met naald - CT: 1; Pleurapunctie met naald - CR: 1,2017-09-08,67
RAD_ZH00000378_MR,MR Orbita Tumor,Magnetic Resonance,MR Orbita Tumor - MR: 63,2023-03-15,67
RAD_0000008550_OT,Pacemaker VVI,Other,not in wise,2023-03-09,67
RAD_ECHOHA_MG,Echo HALS,Mammography,Echo HALS - US: 66,2017-07-10,66
RAD_ZH00000124_MG,MA Contrast Enhanced Spectral Mammography,Mammography,MA Contrast Enhanced Spectral Mammography - MG: 66,2023-03-01,66
RAD_AAOR_MG,Ao. thor. of abd 3 cl.,Mammography,Ao.thor. of abd 3cl new - RF: 18; Ao.thor. of abd 3cl new - XA: 6,2017-06-08,66
RAD_TMRWM_MG,MRT cwz/dwz/lwz,Mammography,MRT cwz/dwz/lwz - MR: 62,2016-01-11,66
RAD_PTC_MG,PTCA-PROTOCOL,Mammography,RX PTC - XA: 28; RX PTC - RF: 21; RX PTC - CR: 1,2017-09-28,66
RAD_0000008531_CR,CR Arthro Elleboog Rechts (CT),Computed Radiography,CR Arthro Elleboog Rechts (CT) - CR: 63,2023-03-15,66
RAD_ZH00005008_OT,4 dagen holter,Other,not in wise,2023-02-27,66
RAD_PELVIMET_MG,Bekken,Mammography,not in wise,2010-10-05,66
RAD_AVESC_MG,ABLATIE VES CARTO,Mammography,ABLATIE VES CARTO - XA: 77; ABLATIE VES CARTO - OT: 3; ABLATIE VES CARTO - SR: 1,2017-07-12,66
RAD_ECHOTH_MG,Echo THORAX,Mammography,Echo THORAX - US: 67,2016-02-10,66
RAD_ZH00005077_NM,Schildklier I123/Bijschildklier Tc99m MIBI inj,Nuclear Medicine,Schildklier I123/Bijschildklier Tc99m MIBI inj - NM: 67; Schildklier I123/Bijschildklier Tc99m MIBI inj - OT: 34,2023-03-09,66
RAD_AAV_MG,ABLATIE AVRT (WPW),Mammography,ABLATIE AVRT (WPW) - XA: 68,2017-09-21,66
RAD_0000008551_OT,Pacemaker looprecorder,Other,not in wise,2023-03-16,66
RAD_CBRSH_MG,Conebeam rotsbeenderen,Mammography,Conebeam rotsbeenderen - CT: 65,2016-06-02,65
RAD_ZH00005458_US,Echo nieren (adhoc) D,Ultra Sound,Echo nieren (adhoc) D - US: 73; Echo nieren (adhoc) D - US: 29,2023-03-16,65
RAD_T_CSIN+_MG,CT Sinussen +,Mammography,not in wise,2018-04-06,65
RAD_1406_MG,LARYNX-TRACHEA,Mammography,LARYNX-TRACHEA - CR: 25; LARYNX-TRACHEA - RF: 1,2015-10-10,65
RAD_LARYNX-T_MG,hals weke delen,Mammography,not in wise,2011-03-07,64
RAD_1589_MG,PUNCTIE HEUP,Mammography,PUNCTIE HEUP - US: 2; PUNCTIE HEUP - RF: 1,2015-10-09,64
RAD_ZH00005301_US,Duplex Aorta & Iliacaal,Ultra Sound,Duplex Aorta - US: 63; Duplex Aorta - US: 2,2023-03-15,64
RAD_MRAFI_MG,MR hoofd IZEGEM,Mammography,MR hoofd IZEGEM - MR: 64,2015-12-31,64
RAD_ZH00000673_NM,SPECT-CT Hand Links,Nuclear Medicine,SPECT-CT Hand Links - NM: 54,2023-03-01,63
RAD_ZH00005474_XA,Ablatie klassieke flutter + narcose,X-Ray Angiography,Ablatie klassieke flutter + narcose - XA: 6,2023-03-07,63
RAD_93_MG,heelkundige behandeling van pseudarthrose van diaf,Mammography,not in wise,1999-06-30,63
RAD_T_FIS_MG,Fistulografie,Mammography,not in wise,2017-09-13,63
RAD_ZH00005089_OT,Maaglediging inj,Other,Maaglediging inj - NM: 66; Maaglediging inj - OT: 64,2020-05-26,63
RAD_ZH00000642_OT,Therapie I131  ambulant,Other,Therapie I131  ambulant - OT: 62; Therapie I131  ambulant - NM: 39,2020-05-26,63
RAD_BOB_MG,Supplement Bobby,Mammography,not in wise,2002-04-10,62
RAD_1587_MG,REPERAGE,Mammography,not in wise,2015-09-22,62
RAD_ZH00000224_CT,CT Arthro Elleboog Rechts,Computed Tomography,CT Arthro Elleboog Rechts - CT: 61,2023-03-15,62
RAD_1710_MG,ECHO BEKKEN VROUW,Mammography,ECHO BEKKEN VROUW - US: 57,2015-09-30,62
RAD_T_CVOER_MG,CT Voet Re,Mammography,not in wise,2018-01-16,62
RAD_RIB1_MG,RIB1,Mammography,not in wise,1998-11-05,62
RAD_T_MRELLL_MG,MRI Elleboog Li,Mammography,not in wise,2018-04-13,62
RAD_T_PULE_MG,Leverpunctie,Mammography,not in wise,2018-03-23,61
RAD_ZH00000679_NM,SPECT-CT Heupprothese Rechts,Nuclear Medicine,SPECT-CT Heupprothese Rechts - NM: 52,2023-03-06,61
RAD_ZH00000115_CR,CR Nefrostomogram Links,Computed Radiography,CR Nefrostomogram Links - CR: 61,2023-03-03,61
RAD_B1177_MG,MAAGEVACUATIE,Mammography,MAAGEVACUATIE - NM: 59,2015-10-08,60
RAD_CA3_MG,Cytologie andere 3x,Mammography,not in wise,2011-06-24,60
RAD_NMR ANGI_MG,NMR ANGIOGRFIE B,Mammography,not in wise,2011-03-24,60
RAD_ZH00000324_DX,DX Botdensitometrie LWZ,Digital Radiography,DX Botdensitometrie LWZ - DX: 56,2023-01-13,60
RAD_ZH00005398_CR,CR Diafragmakoepels scopie,Computed Radiography,CR Diafragmakoepels scopie - CR: 48,2023-02-16,60
RAD_ZH00000329_MR,MR Angio Carotiden Dissectie,Magnetic Resonance,MR Angio Carotiden Dissectie - MR: 58,2023-02-15,59
RAD_ZH00005247_US,evacuerende pleurapunctie,Ultra Sound,evacuerende pleurapunctie - US: 86; evacuerende pleurapunctie - US: 9; evacuerende pleurapunctie - OT: 1,2023-03-16,59
RAD_CAR2_MG,Unil-fps-ie,Mammography,Unil-fps-ie new - XA: 24; Unil-fps-ie new - RF: 23,2017-07-29,59
RAD_ZH00005009_OT,Cardiologie tilt tafel test,Other,Cardiologie tilt tafel test - US: 8,2023-02-22,58
RAD_ZH00000420_MR,MR Pelvimetrie,Magnetic Resonance,MR Pelvimetrie - MR: 57,2023-01-25,58
RAD_T_MRHANL_MG,MRI Hand Li,Mammography,not in wise,2018-03-23,58
RAD_1320_MG,FISTULOGRAFIE,Mammography,FISTULOGRAFIE - RF: 39,2015-09-09,57
RAD_ZH00000647_OT,Xofigo Therapie en consultatie,Other,Xofigo Therapie en consultatie - OT: 57; Xofigo Therapie en consultatie - NM: 35,2020-01-09,57
RAD_ZH00000508_CT,Punctie Lumbaal,Computed Tomography,Punctie Lumbaal - CT: 58; Punctie Lumbaal - US: 9; Punctie Lumbaal - XA: 6,2023-02-28,57
RAD_ZH00000214_CT,CT Knieprothese Rechts,Computed Tomography,CT Knieprothese Rechts - CT: 58,2023-03-13,57
RAD_ZH00000395_MR,MR Sacrum Piriformis,Magnetic Resonance,MR Sacrum Piriformis - MR: 53,2023-03-16,57
RAD_ZH00005289_OT,Ventriculografie/ejectiefractiebepaling inj,Other,Ventriculografie/ejectiefractiebepaling inj - OT: 57; Ventriculografie/ejectiefractiebepaling inj - NM: 22,2020-05-11,57
RAD_ZH00000213_CT,CT Knieprothese Links,Computed Tomography,CT Knieprothese Links - CT: 58,2023-02-09,57
RAD_AO_MG,Abdomen Overzicht,Mammography,Abdomen Overzicht - US: 55,2014-08-04,56
RAD_ZH00000514_CT,"Punctie Retroperitoneaal (bvb. Nier, ...)",Computed Tomography,"Punctie Retroperitoneaal (bvb. Nier, ...) - CT: 50; Punctie Retroperitoneaal (bvb. Nier, ...) - US: 43; Punctie Retroperitoneaal (bvb. Nier, ...) - XA: 15; Punctie Retroperitoneaal - CT: 7; Punctie Retroperitoneaal - US: 5",2023-03-15,56
RAD_ZH00000099_XA,CR ERCP + Papillotomie,X-Ray Angiography,CR ERCP + Papillotomie - XA: 56,2020-04-20,56
RAD_0000008861_MR,MR Blaas Staging,Magnetic Resonance,MR Blaas Staging - MR: 66,2023-02-23,56
RAD_0000008711_NM,Nierscintigrafie met DMSA SPECT/CT (LDCT) scan,Nuclear Medicine,Nierscintigrafie met DMSA SPECT/CT (LDCT) scan - NM: 60,2023-03-14,56
RAD_BYMISPIO_MG,SK (I123) en BijSK (TcMIBI) SPECT,Mammography,SK (I123) en BijSK (TcMIBI) SPECT - NM: 14,2017-09-12,56
RAD_T_CL8_MG,COLON,Mammography,not in wise,2007-03-05,55
RAD_ZH00005544_XA,PFO sluiting + TEE + narcose,X-Ray Angiography,PFO SLUITING + NARCOSE + TEE - XA: 1,2023-03-07,55
RAD_KM2I4_MG,2 x kleine Macroscopie + 4 immuno's,Mammography,not in wise,2010-04-29,55
RAD_ZH00000638_NM,Sentinel Maligne Melanoma dynamisch,Nuclear Medicine,Sentinel Maligne Melanoma dynamisch - NM: 55,2022-11-15,55
