source_code,source_term,source_frequency
RAD_ZH00005063,Nierscintigrafie MAG3 volw,233
RAD_ZH00005009,Cardiologie tilt tafel test,232
RAD_ECHO SCR,ECHO SCROTUM,232
RAD_T_MRVOEL,MRI Voet Li,231
RAD_ZH00000403,MR Bijnieren Standaard,231
RAD_ZH00005049,CT Klein bekken veneus-angio,230
RAD_ZH00000374,MR Labyrinthitis Hydrops,229
RAD_TBI,Tot.body Ioodscan + SPECT,228
RAD_T_AOL,Bolus Art OL ,228
RAD_T_PULO,Punctie long,228
RAD_ZH00000087,CR Hals Weke Delen,227
RAD_ZH00000204,CT Hand Links,226
RAD_ZH00005096,Lymfescintigrafie onderste ledematen fase 1 en 2,226
RAD_ECNI,ECNI,225
RAD_ZH00005097,Lymfescintigrafie onderste ledematen fase 3,225
RAD_SB2I3,2 x superbiopsie + 3 immuno's,223
RAD_ZH00000141,CT Hals Goiter,222
RAD_6002I,NMR HALS THORAX ABDOMEN (IZEGEM),221
RAD_ZH00000054,CR Scannografie Lengte,221
RAD_VIRCO2,Virt. colonscopie dubbel,221
RAD_T_MRHEUR,MRI Heup Re,220
RAD_0000008747,C-Boog MDL,220
RAD_T_MRPOLL,MRI Pols Li,220
RAD_0000008508,Hoog frequentie audiometrie,217
RAD_ZH00005231,VNG + VEMP,217
RAD_T_EFEM,Echo Femur,216
RAD_PTCA2,PTCA 2 OF MR TAKKEN,215
RAD_1703,ECHO THORAX,214
RAD_0000008789,Reuktesten,213
RAD_1717,CAROTIDEN,212
RAD_T_SMDT,Slokd-Maag-Tran,211
RAD_T_EHAN1,Echo Hand Unilateraal,210
RAD_ECHOSCH,Echo schildklier,207
RAD_IMRWM,MR cwz/dwz/lwz IZEGEM,207
RAD_ZH00000460,MR Heup AVN Rechts,207
RAD_FCTCWZ,Facetinfiltratie CWZ,207
RAD_ZH00000100,CR Colon Inloop,206
RAD_ZH00000358,MR Hersenen Neuronavigatie Radiotherapie,206
RAD_CWZ+,CWZ+,204
RAD_CT THORA,CT THORAX,203
RAD_T_MRHEUL,MRI Heup Li,203
RAD_T_CTHA,CT Angio Thorax,203
RAD_T_CSAC,CT Sacro-Iliacaal,202
RAD_ZH00000683,SPECT-CT Knieprothese Rechts,202
RAD_101,heelkundige behandeling van pseudarthrose van midd,201
RAD_ZH00000310,Duplex-Dopler Bovenste Lidmaat Arterieel Links,201
RAD_ZH00000381,MR Tempero-Mandibulaire Gewrichten,199
RAD_T_SLO,Slokdarm,199
RAD_ZH00000352,MR Hersenen Hydrocephalie NPH,197
RAD_MRHE,MRHE,197
RAD_ERC+OLD,ERCP +PAPILLOTOMIE,196
RAD_T_ESCH2,Echo Schouder Bilateraal,196
RAD_ECHO SCH,ECHO SCHEDEL,196
RAD_TROM,THROMBOLYSE I.A.,195
RAD_ZH00005417,Duplex ledematen (adhoc) E,195
RAD_T_CCARDX,CT Hart op Aanvraag Cardioloog,194
RAD_0000008683,Duplex halsvaten adhoc,193
RAD_ZH00005400,CT TPS Hoofd-Hals,192
RAD_0000008766,TEE - PFO / ASD / re-li shunt Rumbeke,192
RAD_IM1,immuno 1x,191
RAD_ZH00000373,MR Cholesteatoom,191
RAD_ZH00000682,SPECT-CT Knieprothese Links,191
RAD_WMRAF,MRW hoofd,191
RAD_ZH00005459,Echo urogenitaal (adhoc) D,190
RAD_ZH00000315,Duplex-Dopler Bovenste Lidmaten Ven. Bilateraal,188
RAD_WARTR,Arthrografie WAREGEM,188
RAD_H,Heup,187
RAD_T_PULE1,Leverpunctie +,187
RAD_IMRAF,MR hoofd IZEGEM,186
RAD_ZH00000685,SPECT-CT Enkel Rechts,186
RAD_ZH00000408,MR Lever Hemochromatose (GEEN EVAL. LEVERLETSELS),186
RAD_1405,RIBBEN - STERNUM,185
RAD_ZH00000330,MR Angio Aortaboog,184
RAD_T_CHWTH,CT Hals en Thorax,184
RAD_SMIM2,Supermakroscopie + 2 immuno's,183
RAD_ZH00005090,Maaglediging scan,182
RAD_ZH00005089,Maaglediging inj,182
RAD_ZH00000412,MR Prostaat Staging,181
RAD_CS00000032,Fietsergometrie - met spirometrie,181
RAD_0000008858,CT Hals-Thorax-Abd. - Screening Hematol. Work-up,179
RAD_ZH00000092,CR Slokdarm,178
RAD_B1303,MIBI RUST,178
RAD_ZH00000370,MR fMRI ,177
RAD_ZH00000185,CT Nierarteries,177
RAD_ZH00000479,MR Voorvoet Morton Links,177
RAD_ZH00005480,coronarografie postop,176
RAD_CBLIDM,Conebeam lidmaat,176
RAD_WMRLM,MRW lidmaat,176
RAD_B1304,MIBISTRESS,176
RAD_NMR BEID,NMR BEIDE MAMAE,176
RAD_ZH00000052,CR Full Spine Face,175
RAD_ZH00000254,Echo Mannelijk Bekken,175
RAD_ZH00000162,CT Abdomen Perforatie,175
RAD_CS00000003,Faux Profile (CEPH),175
RAD_ZH00000480,MR Voorvoet Morton Rechts,174
RAD_1316,E.R.C.P.,174
RAD_ZH00000134,CT Hersenen Pre-Neuronavigatie,174
RAD_T_CDPF,Consultatie Dr De Pauw,174
RAD_ZH00000647,Xofigo Therapie en consultatie,173
RAD_0000008788,Consultatie NG,173
RAD_ZH00000681,SPECT-CT Knie Rechts,172
RAD_ZZOK,Echo anesthesie IE33 operatiekwartier,172
RAD_ZH00000454,MR Vinger Klein FOV Rechts,169
RAD_0000008917,Epidurale Cervicaal,169
RAD_ZH00005195,Echo nieren (adhoc) E,169
RAD_PLEV,Punctie lever,168
RAD_PTA1,ANGIODILAT 1 ART,168
RAD_E.R.C.P.,CHOLAN,167
RAD_ZH00000680,SPECT-CT Knie Links,167
RAD_ZH00000188,CT Bovenste Ledematen Standaard,167
RAD_WMRWM,MRW cwz/dwz/lwz,167
RAD_1735,DUPLEX FOLLOW UP VENEUZE BLOEDVATEN,167
RAD_ZH00005114,CT AORTA - Diameterbepaling aortaboog (+)/EKG,165
RAD_KMIM1,Kleine Macroscopie + 1 immuno,165
RAD_1607,THROMBOLYSIS,165
RAD_T_SIG,RX Sacro-iliacale Gewrichten,165
RAD_0000008759,Studie: niet ten laste van patiënt,164
RAD_TTE2,Transthoracale echocardiografie,163
RAD_ASC,Ascitespunctie,162
RAD_T_DCAR,Duplex Carotiden,161
RAD_EPRO,Transrectale prostaatecho,161
RAD_ZH00000337,MR Cardio ARVD,160
RAD_T_CBROTS,CBCT Rotsbeenderen huisartsen,160
RAD_CAV4-OLD,BIL-FPS-V,160
RAD_ZH00000684,SPECT-CT Enkel Links,159
RAD_EVAR,EVAR,159
RAD_T_CPOLY,CT Polytrauma,157
RAD_1355,HYSTEROGRAFIE,156
RAD_ZH00000400,MR Cervicodorsaal MS,155
RAD_ZZICU,Echo anesthesie CX50 intensieve,155
RAD_DCVA,duplex hals&abdomen,154
RAD_ZH00005410,MR Whole-Body Ovarium/Colon/Pediatrie,153
RAD_ZH00005551,TAVI + narcose + firma,153
RAD_ZH00000131,CT Hersenen 1e Controle Postoperatief,153
RAD_KMVB,Kleine Macroscopie + vriesbiopsie,153
RAD_T_BHEH,BKN Echo TH/ECG/ASP/BA,153
RAD_ZH00000502,Punctie Borst + Clipplaatsing,152
RAD_ZH00005497,DDD-Pacemakervervanging,151
RAD_T_SCAL,RX Scapula Li,150
RAD_ZH00000151,CT SIG Trauma,149
RAD_BA,Bovenarm,148
RAD_SCAPULA,Schouderblad,148
RAD_T_CLID+,CT Lidmaat +,147
RAD_ZH00000230,CT Arthro Knie Rechts,146
RAD_0000008809,Nachtelijke Saturatie zonder O2,146
RAD_ZH00000264,Echo Oog/Orbita,146
RAD_STRYKER,Onderzoek Stryker,145
RAD_MB1,Minibiopsie 1x,145
RAD_ZH00000260,Echo Pancreas - Milt,145
RAD_ZH00005077,Schildklier I123/Bijschildklier Tc99m MIBI inj,144
RAD_ZH00000485,MR Mammo Implantaten,144
RAD_CRTICDIN,CRT ICD-IMPLANTATIE,144
RAD_ZH00005238,echo lever/GB/GW,144
RAD_HSCOPCUR,Hysteroscopie & curettage,144
RAD_CAIM2,Cytologie andere + 2x immuno,144
RAD_T_SCAR,RX Scapula Re,144
RAD_ZH00000375,MR Orbita Screening,144
RAD_CBCTTA,Conebeam CT no contrast boven_onderkaak,143
RAD_ZH00000642,Therapie I131  ambulant,142
RAD_VACC,Vaco stereotaxie met clipplaatsing,142
RAD_0000008599,MR Buikwand,141
RAD_SPEE,Speekselklierscan,141
RAD_ZH00005078,Schildklier I123/Bijschildklier Tc99m MIBI scan,141
RAD_FLLM-OLD,FLEBOGR.LIDMAAT,141
RAD_ZH00005458,Echo nieren (adhoc) D,140
RAD_ZH00000293,Echo Teen I II III IV V Rechts,140
RAD_TAVI,TRANSCATHETER AORTIC VALVE IMPLANTATION,140
RAD_TE,Transoesofagale Echocardiografie IZ,140
RAD_T_PUAS1,Ascitespunctie +,140
RAD_ZH00000520,Diagnostische arteriografie 4-vaten studie,139
RAD_1304,SLIKFUNKTIE,138
RAD_ZH00000292,Echo Teen I II III IV V Links,138
RAD_1656,CT SCHEDELBASIS (12),138
RAD_PYEL,RX opstijgende pyelografie,137
RAD_6003,NMR ANGIOGRFIE BLOEDVATEN,137
RAD_T_CLWZ+,CT Lumbaal +,136
RAD_ZH00000210,CT Heupprothese Rechts,136
RAD_ECHOHF30,Echo Hartfalen 30',135
RAD_ZH00000243,Conebeam Pols Links,135
RAD_ZH00000459,MR Heup AVN Links,134
RAD_T_TRA,Transit,134
RAD_IVDC,IVDSA Centrale KAT,134
RAD_CTFC,CT faciaal massief met contrast,133
RAD_COR1P,1TIJDS PTCA,133
RAD_1731,DUPLEX ARTERIELE BLOEDVATEN V BEIDE BOV EN ONDER L,132
RAD_T_CL8GG,ColonG,132
RAD_ZH00005499,Diagnostisch EFO,131
RAD_ZH00000209,CT Heupprothese Links,131
RAD_ZH00000394,MR Sacrum Trauma,131
RAD_ZH00005221,Fitting CI eerste maal,130
RAD_VACO,stereotactische vacora,130
RAD_0000008840,CR Bekken Lateraal Staand,130
RAD_SMIM1,Supermakroscopie + 1 immuno,129
RAD_0000008510,Ablatie AVNRT,129
RAD_SCA,RX Scapula,129
RAD_PICC,PICC,128
RAD_1PTCA2,1 TIJDS PTCA 2 OF MR TAKKEN,128
RAD_LW,LWZ 2 CL,128
RAD_EGLH,Echo gastro Dr. Harlet,127
RAD_FIST,RX fistulografie,127
RAD_0000008538,CR Arthro Knie Rechts (CT),127
RAD_AFN,ABLATIE FLUTTER (RECHTS) + NARCOSE,127
RAD_MECK,Meckelscan,127
RAD_RL,Rug Lumbaal,126
RAD_1454,OPSTIJGENDE PYELO UNI,126
RAD_T_MRPANC,MRI Pancreas,126
RAD_ZH00000453,MR Vinger Klein FOV Links,124
RAD_ZH00005032,MR Craniale zenuwen,124
RAD_ZH00000357,MR Hersenen Neuronavigatie + 3D Flair,124
RAD_T_CARTH,CT Arthrografie,124
RAD_ZH00000244,Conebeam Pols Rechts,124
RAD_SMKM,Supermakroscopie + kleine makroscopie,123
RAD_PTAB,PTA bovenbeen,122
RAD_ZH00000514,"Punctie Retroperitoneaal (bvb. Nier, ...)",122
RAD_0000008720,ICD controle AdHoc,121
RAD_0000008752,MR Prostaat Active Surveillance,121
RAD_0000008537,CR Arthro Knie Links (CT),121
RAD_ECHO BEK,ECHO BEKKEN VROUW,121
RAD_PTAV,PTA viscerale vaten,121
RAD_ZH00005399,CT TPS Hersenen,121
RAD_0000008725,CR Extravasatie (incl. melding INFOLAND),120
RAD_THROMBOL,A.JODI,120
RAD_ZH00000229,CT Arthro Knie Links,120
RAD_WMRAB,MRW hals/thorax abdomen bekken,120
RAD_T_MRFULL,MRI Full Spine,120
RAD_KMD3I1,KMD3I1,119
RAD_TMRAF,MRT hoofd,117
RAD_T_URET,Urethrografie,117
RAD_ZH00005041,Duplex halsvaten,116
RAD_1586,PUNCTIE OVARIUM-KYSTE,116
RAD_SMD3I1,SMD3I1,115
RAD_1585,PUNCTIE BORST,114
RAD_IVC-OLD,INTRAVEN.GALBL.6C,114
RAD_ZH00005029,Sentinel Maligne Melanoma dynamisch SPECT/CT (LD),114
RAD_B1135,THYROID + UPTAKE,114
RAD_PASC,Punctie ascites,114
RAD_CAR6,Bil-fps,114
RAD_FLDY,Fleb. dialysefistel,113
RAD_RETROGRA,URETR,113
RAD_T_PUBO,Borstpunctie,113
RAD_DUSV,Duplex controle veneus letsel,113
RAD_PERITONE,PERITONEO,113
RAD_ZH00005116,CR Orthopantogram (OPG),113
RAD_CSFDS,Echo Prof. De Wolf - Gent sc,113
RAD_ZH00000527,Flebografie,112
RAD_T_CORBI,CT Orbita,112
RAD_0000008842,CR Bekken Lateraal Zittend,111
RAD_EGV,Echo gastro Dr. Vandecandelaere,110
RAD_ACG,ACG,110
RAD_T_MAMHR,Mammografie Hoog Risico,109
RAD_ZH00005290,Ventriculografie/ejectiefractiebepaling scan,109
RAD_0000008719,Pacemaker DDD AdHoc,109
RAD_ECHOLE,Echo LEVER / GB /GW,109
RAD_ZH00005289,Ventriculografie/ejectiefractiebepaling inj,108
RAD_ZH00000483,MR Sternum (Thorax),108
RAD_ZH00000399,MR Full Spine SpA,108
RAD_IM4,immuno 4x,108
RAD_ZH00000363,MR Craniale Zenuwen - Nervus Olfactiorius,107
RAD_DPMV,DDD-PACEMAKER-VERVANGING,106
RAD_ZH00000396,MR Sacrum Plexus,106
RAD_T_EMAMHR,Echo Mammo HR,105
RAD_AAOS,AO-Supplement,105
RAD_AAB2-OLD,SEL.2 OF + ABD.ART,105
RAD_CTHTA,"CT Thorax,hals,abdomen",104
RAD_DUHC,DUHC,104
RAD_PORT,PORT,104
RAD_PTAI,PTA iliacaal,104
RAD_AAB2,Sel. 2 of + abd. art,103
RAD_ECHO THO,ECHO THORAX,103
RAD_CS00000049,Ademspierkrachtmeting,103
RAD_ZH00000675,SPECT-CT Bekken,103
RAD_0000008822,TEE - volledige narcose,103
RAD_ECOG,Echo oog/orbita,103
RAD_1651,CT SCHEDEL FACIAAL MASSIEF,102
RAD_ZH00000380,MR Hals Sinus Tumor,101
RAD_ZH00000656,Consultatie ambulant NG,101
RAD_T_MRELLR,MRI Elleboog Re,101
RAD_ZH00000482,MR Voorvoet Arthritis Rechts,100
RAD_ZH00000168,CT Bijnieren,100
RAD_0000008811,CT Full Body Low Dose (ikv opsporen botletsels),99
RAD_ZH00000364,MR Craniale Zenuwen - Nervus Opticus,98
RAD_T_DLID,Duplex ledematen,98
RAD_0000008770,VNG + VEMP + BERA,97
RAD_ZH00000436,MR Lidmaat Tumor Rechts,97
RAD_AORTA + ,BENEN,96
RAD_0000005138,WBCscan autologe merking SPECT/CT (LD CT) 21u pi,95
RAD_ZH00000414,MR Scrotum,95
RAD_ECHOUR,Echo URINAIR,95
RAD_ZH00005201,Nierbiopt onder echogeleide (E),95
RAD_0000005136,WBCscan autologe merking SPECT/CT (LD CT) scan,94
RAD_0000005137,WBCscan autologe merking SPECT/CT (LD CT) 4u pi,94
RAD_0000005134,WBCscan autologe merking SPECT/CT (LD CT) bloedafn,94
RAD_0000005135,WBCscan autologe merking SPECT/CT (LD CT) inj,94
RAD_0000008880,Studie: niet ten laste van patiënt,94
RAD_ZH00000288,Echo Clavicula Links,93
RAD_GB4,Gewone biopsie 4x,93
RAD_ZH00000435,MR Lidmaat Tumor Links,93
RAD_CRTPMIN,CRT PM-IMPLANTATIE + NARCOSE,93
RAD_CAR2-OLD,UNIL-FPS-IE,92
RAD_SLIKFUNK,SLIK,92
RAD_T_FSP2,RX Full Spine FP,92
RAD_T_COPSUB,Co PortACath ,92
RAD_MIBG,MIBG - scan,91
RAD_0000008572,Echo hersenen,91
RAD_VICDIN,VVI ICD-IMPLANTATIE,91
RAD_ZH00000126,MA Hysterosalpingografie,91
RAD_ZH00000530,Embolisatie Bloeding Bovenbuik,91
RAD_1674,CT COLON,90
RAD_ZH00005106,CT HART- Evaluatie aortaklep calcificaties (-)/EKG,90
RAD_ID,immuno duurdere,90
RAD_ZH00000433,MR Bovenarm Links,90
RAD_OCT,Octreotide scan,90
RAD_SMIM3,Supermakroscopie + 3 immuno's,89
RAD_MYEL,Myelo LWZ,89
RAD_GDL,Galliumscan deel,89
RAD_ZH00000524,Embolisatie pseudo-aneurysma,89
RAD_VBGB,Vriesbiopsie + gewone biopsie,88
RAD_ZH00000578,Longperfusie met SPECT/CT (low dose CT),87
RAD_AXSK,RX axiaal skelet,87
RAD_VPMI,VVI_PACEMAKER-IMPLANTATIE,87
RAD_MRWMI,MR cwz/dwz/lwz IZEGEM,87
RAD_0000008504,Reconversie,87
RAD_1826,CB-CWZ,87
RAD_MF4,Materiaal Forfait PCI meerdere bloedvaten,86
RAD_SB2I2,2x SUPERBIOPSIE + 2 IMMUNO's,86
RAD_LYSCLEDE,Lymfescan onderste/bovenste ledematen,85
RAD_ZH00000534,PTC + Stenting,85
RAD_T_CURO,CT Urografie,85
RAD_ZH00000262,Echo Aorta,85
RAD_T_ERCP2,ERCP + Papilotomie,84
RAD_IMRAB,MR hals/th/abd/bekk IZEGEM,84
RAD_ZH00000542,Embolisatie Bloeding Onderbuik,84
RAD_ZH00000677,SPECT-CT Heup Rechts,84
RAD_FFR,CORONAIRE FFR,84
RAD_ZH00000321,Duplex-Dopler Follow-up Arterieel,83
RAD_EMABL,Endometriumablatie,82
RAD_S97,gr.macro + gr.micro + 3 immuno's,82
RAD_CORPOR,CORONARO POST-OP EN RECHTER HART,82
RAD_SMD TRAN,SMD TR,82
RAD_ZH00000676,SPECT-CT Heup Links,82
RAD_B1503,SENTINEL BORST + TOMO,82
RAD_PHEU,Punctie heupgewricht,81
RAD_ZH00005510,loop recorder implantatie,81
RAD_ZH00000678,SPECT-CT Heupprothese Links,81
RAD_AF,ABLATIE FLUTTER (RECHTS),81
RAD_0000008865,LuPSMA cyclus 2 of meer injectie,81
RAD_0000008800,CT Slokdarm,80
RAD_TCD,Transcraniële Doppler,80
RAD_T_DLIDVF,Duplex Veneus Opvolging,80
RAD_MF2,Materiaal Forfait PCI met cor stent,80
RAD_FLLM,Flebografie lidmaat,80
RAD_AVESC,ABLATIE VES CARTO,80
RAD_ZH00000289,Echo Clavicula Rechts,80
RAD_0000008821,CT Hersenen Wake Up Stroke,79
RAD_0000008768,Reconversie Rumbeke,79
RAD_PPLEU,Pleurapunctie met naald,79
RAD_N8300,PET-CT,79
RAD_ZH00000427,MR Urografie,79
RAD_0000005125,Nierscintigrafie met DMSA pediatrie inj,78
RAD_BB,Bovenbeen,78
RAD_ZH00005117,CR Teleradiografie,78
RAD_0000008556,MR Angio Abdominale Aorta,78
RAD_OB,Onderbeen,78
RAD_PFO,PFO-SLUITING,78
RAD_ZH00000291,Echo AC-Gewricht Rechts,78
RAD_6005I,NMR BEIDE MAMAE (IZEGEM),78
RAD_ZH00000672,SPECT-CT Pols Rechts,78
RAD_ZH00005296,Duplex Aneurysma,78
RAD_T_MRHANR,MRI Hand Re,78
RAD_T_FLG,RX Full Leg,77
RAD_ZH00000674,SPECT-CT Hand Rechts,77
RAD_300,Autopsie,77
RAD_0000008507,Whole body met SPECT scan,76
RAD_ZH00000504,Punctie Bot ,76
RAD_PTC,PTCA-PROTOCOL,76
RAD_HERN,HERNIOGRAFIE,76
RAD_ALMK-OLD,ART.LIDM VIA KATHE,76
RAD_ZH00000426,MR Urethra,75
RAD_CAR1-OLD,UNIL-FP-C,75
RAD_ZH00000101,CR Defaecografie,75
RAD_0000008866,LuPSMA cyclus 2 of meer scan Dag6,75
RAD_92,heelkundige behandeling van pseudarthrose van olec,74
RAD_ZH00000508,Punctie Lumbaal,74
RAD_T_EVOAR,Echo Voorarm,73
RAD_ZH00005247,evacuerende pleurapunctie,73
RAD_0000008506,Whole body met SPECT inj,73
RAD_ZH00000309,Duplex-Dopler Bovenste Lidmaten Art. Bilateraal,73
RAD_ZH00000083,CR Thorax F/P Arbeidsgeneeskunde,73
RAD_0000008680,Plaatsen Nefrostomiesonde,72
RAD_PSCHCB,Schildklierpunctie voor core biopt,72
RAD_ZH00000625,Nierscintigrafie MAG3 pediatrie,72
RAD_ZH00000434,MR Bovenarm Rechts,72
RAD_1605,EMBOL. ARTERIEEL,72
RAD_CAR4,Unil-fps-c,72
RAD_ZH00000671,SPECT-CT Pols Links,71
RAD_ZH00000664,SPECT-CT DWZ,71
RAD_BYMISPIO,SK (I123) en BijSK (TcMIBI) SPECT,71
RAD_22,behandelen met repositie van enkelluxatie (tibiota,70
RAD_T_CHEUL,CT Heup Li,70
RAD_ZH00000322,Duplex-Dopler Follow-up Veneus,70
RAD_T_MRHYP,MRI Hypofyse,70
RAD_CU2,Cytologie urine-sputum 2x,70
RAD_T_BRONCH,Bronchoscopie,69
RAD_ZH00000407,MR Lever Non Coöperatief,69
RAD_AAV,ABLATIE AVRT (WPW),68
RAD_ZH00005420,Echo hals (adhoc) D,68
RAD_ZH00000481,MR Voorvoet Arthritis Links,68
RAD_ARTERIO,Arterio,68
RAD_1825,CB-ROTSBEENDEREN,68
RAD_0000008688,"CT HART - sluiten hartoortje (-,+)/EKG",68
RAD_ZH00000378,MR Orbita Tumor,68
RAD_0000008812,Nierbiopsie NEF (adhoc) D,68
RAD_LVLSPCT,Longventilatie gecombineerd met een longperfusie S,68
RAD_CONSULT,Consult,67
RAD_0000009051,CT TPS Radiotherapie,67
RAD_T_CHEUR,CT Heup Re,67
RAD_AAOR,Ao. thor. of abd 3 cl.,67
RAD_ECHOTH,Echo THORAX,67
RAD_BE,BoneXpert,66
RAD_ZH00000124,MA Contrast Enhanced Spectral Mammography,66
RAD_TMRWM,MRT cwz/dwz/lwz,66
RAD_ZH00005301,Duplex Aorta & Iliacaal,66
RAD_ECHOHA,Echo HALS,66
RAD_XO,Xofigo,66
RAD_T_CSIN+,CT Sinussen +,66
RAD_0000008531,CR Arthro Elleboog Rechts (CT),66
RAD_ECHOBOB,Echo tractie-aspiratie/bead/monit,66
RAD_PELVIMET,Bekken,66
RAD_ZH00000673,SPECT-CT Hand Links,66
RAD_CBRSH,Conebeam rotsbeenderen,65
RAD_0000008557,MEP conversie,65
RAD_ZH00005457,Echo lidmaat (adhoc) D,65
RAD_1406,LARYNX-TRACHEA,65
RAD_LARYNX-T,hals weke delen,64
RAD_1589,PUNCTIE HEUP,64
RAD_MRAFI,MR hoofd IZEGEM,64
RAD_T_FIS,Fistulografie,63
RAD_ZH00000679,SPECT-CT Heupprothese Rechts,63
RAD_T_CVOER,CT Voet Re,63
RAD_CAR2,Unil-fps-ie,63
RAD_LAPADNEX,Laparascopie voor adnexectomie,63
RAD_ZH00005474,Ablatie klassieke flutter + narcose,63
RAD_93,heelkundige behandeling van pseudarthrose van diaf,63
RAD_1710,ECHO BEKKEN VROUW,62
RAD_T_MRELLL,MRI Elleboog Li,62
RAD_RISA,Cysternografie,62
RAD_BOB,Supplement Bobby,62
RAD_RIB1,RIB1,62
RAD_1587,REPERAGE,62
RAD_ZH00000115,CR Nefrostomogram Links,61
RAD_T_PULE,Leverpunctie,61
RAD_ZH00000324,DX Botdensitometrie LWZ,61
RAD_ZH00000224,CT Arthro Elleboog Rechts,61
RAD_CLIP,Clip Plaatsing,61
RAD_ZH00005398,CR Diafragmakoepels scopie,60
RAD_CA3,Cytologie andere 3x,60
RAD_NMR ANGI,NMR ANGIOGRFIE B,60
RAD_B1177,MAAGEVACUATIE,60
RAD_ZH00000329,MR Angio Carotiden Dissectie,59
RAD_T_MRHANL,MRI Hand Li,58
RAD_ZH00000420,MR Pelvimetrie,58
RAD_LYSCSPCT,LYSCan met SPECTCT-opnames,57
RAD_DICDIN,DDD ICD-IMPLANTATIE,57
RAD_PLUM,Punctie lumbale,57
RAD_ZH00000213,CT Knieprothese Links,57
RAD_1320,FISTULOGRAFIE,57
RAD_ZH00000099,CR ERCP + Papillotomie,56
RAD_ZH00000214,CT Knieprothese Rechts,56
RAD_0000008861,MR Blaas Staging,56
RAD_LAPSTERI,Laparascopische sterilisatie,56
RAD_AO,Abdomen Overzicht,56
RAD_ZH00000638,Sentinel Maligne Melanoma dynamisch,55
RAD_0000008737,CT Sternoclaviculair gewricht,55
RAD_KM2I4,2 x kleine Macroscopie + 4 immuno's,55
RAD_0000008532,CR Arthro Enkel Links (CT),55
RAD_T_CL8,COLON,55
RAD_HYSPOL,Op hysterscopie + poliepectomie of myomectomie,55
RAD_ZH00005544,PFO sluiting + TEE + narcose,55
RAD_0000008711,Nierscintigrafie met DMSA SPECT/CT (LDCT) scan,55
RAD_ZH00000383,MR Plexus Brachialis Tumor,54
RAD_0000008710,Nierscintigrafie met DMSA SPECT/CT (LDCT) inj,54
RAD_IVUS,IVUS (intravasculaire ultrasound) ,54
RAD_0000005126,Nierscintigrafie met DMSA pediatrie scan,54
RAD_1323,PERITONEO,54
RAD_ZH00000395,MR Sacrum Piriformis,54
RAD_VBIM4,vriescoupe + 4 immuno's,53
RAD_CS00000041,TEE - PFO / ASD / re-li shunt,53
RAD_1719,CAROTIS + PERIFEER,53
RAD_CAIM1,Cytologie andere + 1x immuno,52
RAD_KMSB,Kleine Macroscopie + superbiopsie,52
RAD_ZH00005406,MR DBS,52
RAD_T_PUBOSP,Punctie borst met Spirotome,52
RAD_CS00000071,Arteriepunctie met zuurstof,51
RAD_EGGG,Echo gastro Dr. Ghillebert,51
RAD_T_EHUM,Echo Humerus,51
RAD_CAVE-OLD,CAVERNOSOGRAFIE,51
RAD_ZH00005115,"CT AORTA - Eval. dissectie aortaboog (-,+,+)/EKG",51
RAD_SMGB,Supermakroscopie + gewone biopsie,51
RAD_0000008533,CR Arthro Enkel Rechts (CT),51
RAD_ZH00000521,Trombectomie,51
RAD_T_MRFOS,MRI Fossa Post,51
RAD_ZH00005517,VVI ICD-implantatie,51
RAD_CSRB,Echo R.Beeuwsaert,51
RAD_ZH00005222,Fitting BAHA / PONTO eerste maal,51
RAD_ZH00000163,CT Abdomen Enterografie Crohn,50
RAD_ZH00000025,CR Sterno-Claviculair Gewricht Rechts,50
RAD_ZH00005403,CT TPS Abdomen,50
RAD_T_DU2,Duplex 2,50
RAD_SM2,Supermakroscopie 2x,50
RAD_94,biopsie + 4 x immuno,50
RAD_CBCWZ,Conebeam cwz,50
RAD_0000008669,CT Virtopsie ikv gerechtelijk onderzoek,50
RAD_0000008536,CR Arthro Heup Rechts (CT),50
RAD_ZH00000456,MR Heup BilateraaL MARS,49
RAD_ZH00000116,CR Nefrostomogram Rechts,49
RAD_0000008560,MR Milt,49
RAD_BSP,Botscan SPECT,49
RAD_ZH00000061,CR Kaakgewrichten,48
RAD_WOND,Wondhechting,48
RAD_ZH00000290,Echo AC-Gewricht Links,48
RAD_ZH00000231,CT Arthro Enkel Links,48
RAD_ZH00000228,CT Arthro Heup Rechts,48
RAD_T_MRAHWD,MRI Angio Halsvaten,47
RAD_ZH00005402,CT TPS Thorax 4D,47
RAD_RIBBEN -,Sternum,47
RAD_ZH00000630,Sentinel Borst (LDCT),47
RAD_AORTA,AORTAGRAM,47
RAD_ZH00005194,Echo urogenitaal (adhoc) E,46
RAD_T_EKNIE2,Echo Knie Bilateraal,46
RAD_ZH00000104,CR Fistulografie,46
RAD_0000008783,C-boog Endoscopie,46
RAD_ZH00000543,Embolisatie Uterus,46
RAD_T_CSCHL,CT Schouder Li,46
RAD_KMGI2,Kleine Macroscopie + gewone biopsie + 2 immuno's,45
RAD_ZH00005490,DDD-ICD implantatie,45
RAD_0000008676,MR Voorarm Rechts,45
RAD_DAR,Diagn. arteriografie radiologie,45
RAD_B1153,VQ MET 2 TOMOS,45
RAD_M97,kl.macro + kl. micro + 3 immuno's,45
RAD_ZH00000332,MR Angio A. Subclavia (TOS),45
RAD_T_PUSCH,Schildklierpunctie,45
RAD_9009,FLEBOGRAFIE,45
